filename,volume,cog_x,cog_y,cog_z,num_faces,num_vertices,num_edges
Testing4.stl,706.8753058333333,0.0001432285652638472,6.522743419976778e-07,4.760773267369538,2702,1351,8106
Testing.stl,524.271813,6.609478354684069e-05,2.1996883513490017e-05,5.723181371949898,2614,1307,7842
Testing2.stl,469.175444172,0.0003493366548400194,-8.21707423289084e-17,1.143,416,208,1248
Testing3.stl,7292.845330999999,-0.00030089904805098206,6.651228963867927e-16,2.2106214500355215,3916,1958,11748
ATI_08.stl,484.5997445399999,0.0005207528372129317,2.2547360078348856e-17,1.1430000000000002,416,208,1248
ATI_08.stl,484.5997445399999,0.0005207528372129317,2.2547360078348856e-17,1.1430000000000002,416,208,1248
ATI_08.stl,484.5997445399999,0.0005207528372129317,2.2547360078348856e-17,1.1430000000000002,416,208,1248
ATI_08.stl,484.5997445399999,0.0005207528372129317,2.2547360078348856e-17,1.1430000000000002,416,208,1248
ATI_08.stl,484.5997445399999,0.0005207528372129317,2.2547360078348856e-17,1.1430000000000002,416,208,1248
ATI_08.stl,484.5997445399999,0.0005207528372129317,2.2547360078348856e-17,1.1430000000000002,416,208,1248
ATI_08.stl,484.5997445399999,0.0005207528372129317,2.2547360078348856e-17,1.1430000000000002,416,208,1248
ATI_08.stl,484.5997445399999,0.0005207528372129317,2.2547360078348856e-17,1.1430000000000002,416,208,1248
ATI_08.stl,484.5997445399999,0.0005207528372129317,2.2547360078348856e-17,1.1430000000000002,416,208,1248
